product_id,product_name,product_category,product_description,product_cost,product_quantity,product_supplier
1,Coke,Beverage,100ml,0.13,58702,MOS
2,Milk,Fresh,100ml,0.12,22647,MOS
3,Crisps,Dry Foods,100g,0.13,13711,MOS
4,Eggs,Fresh,Per Unit,0.2,44052,MOS
5,Bread,Fresh,100g,0.12,71523,MOS
6,Cereal,Dry Foods,100g,0.27,45287,MOS
7,Beef,Meat,100g,1.12,5481,MOS
8,Chicken,Meat,100g,0.67,74335,MOS
9,Water,Beverage,100ml,0.03,65389,MOS
10,Cookies,Snacks,100g,0.4,84117,MOS
11,Carrots,Fresh,100g,0.06,55094,MOS
12,Potatoes,Fresh,100g,0.07,71111,MOS
13,Coffee,Beverage,100g,0.23,27598,MOS
14,Peanut Butter,Snacks,100g,0.63,72750,MOS
15,Pizza,Snacks,100g,0.91,91581,MOS
16,Butter,Fresh,100g,0.48,89365,MOS
17,Pasta,Dry Foods,100g,0.19,66447,MOS
18,Sausages,Meat,100g,0.45,80644,MOS
19,Rice,Dry Foods,100g,0.13,70141,MOS
20,Flour,Dry Foods,100g,0.08,53974,MOS
