product_id,product_name,product_catagory,product_description,product_cost,product_quantity,product_supplier
1,Coke,Beverage,100ml,0.13,33777,TSC
2,Milk,Fresh,100ml,0.12,38006,TSC
3,Crisps,Dry Foods,100g,0.13,78006,TSC
4,Eggs,Fresh,Per Unit,0.2,37105,TSC
5,Bread,Fresh,100g,0.12,65963,TSC
6,Cereal,Dry Foods,100g,0.27,80968,TSC
7,Beef,Meat,100g,1.12,53669,TSC
8,Chicken,Meat,100g,0.67,78665,TSC
9,Water,Beverage,100ml,0.03,84780,TSC
10,Cookies,Snacks,100g,0.4,59020,TSC
11,Carrots,Fresh,100g,0.06,12624,TSC
12,Potatoes,Fresh,100g,0.07,10553,TSC
13,Coffee,Beverage,100g,0.23,90688,TSC
14,Peanut Butter,Snacks,100g,0.63,71254,TSC
15,Pizza,Snacks,100g,0.91,20262,TSC
16,Butter,Fresh,100g,0.48,47314,TSC
17,Pasta,Dry Foods,100g,0.19,8769,TSC
18,Sausages,Meat,100g,0.45,10256,TSC
19,Rice,Dry Foods,100g,0.13,56068,TSC
20,Flour,Dry Foods,100g,0.08,86830,TSC
